pose,time_s,trial,height,roll_deg,pitch_deg,gravity_error,speed,angular_speed,feet_contact,base_contact,joint_rms,stable_hold_s,geometry_ok,FL_foot_x_b,FL_foot_y_b,FL_foot_z_b,FL_knee_y_b,FR_foot_x_b,FR_foot_y_b,FR_foot_z_b,FR_knee_y_b,RL_foot_x_b,RL_foot_y_b,RL_foot_z_b,RL_knee_y_b,RR_foot_x_b,RR_foot_y_b,RR_foot_z_b,RR_knee_y_b,FL_hip_joint,FL_hip_joint_offset,FR_hip_joint,FR_hip_joint_offset,RL_hip_joint,RL_hip_joint_offset,RR_hip_joint,RR_hip_joint_offset,FL_thigh_joint,FL_thigh_joint_offset,FR_thigh_joint,FR_thigh_joint_offset,RL_thigh_joint,RL_thigh_joint_offset,RR_thigh_joint,RR_thigh_joint_offset,FL_calf_joint,FL_calf_joint_offset,FR_calf_joint,FR_calf_joint_offset,RL_calf_joint,RL_calf_joint_offset,RR_calf_joint,RR_calf_joint_offset,bank_state_id
side,0.02,0,0.15422533452510834,97.23077392578125,179.88461303710938,1.500577449798584,0.006915464531630278,0.41312944889068604,2,False,0.07073566317558289,0.0,True,0.1718190312385559,0.17282843589782715,-0.3117123544216156,0.15629060566425323,0.1848321408033371,-0.17333343625068665,-0.27942848205566406,-0.15688133239746094,-0.2428871989250183,0.16876280307769775,-0.27888429164886475,0.15272016823291779,-0.31333422660827637,-0.17367514967918396,-0.2932986915111542,-0.15231654047966003,0.0971425473690033,-0.0028574541211128235,-0.10962900519371033,-0.009629003703594208,0.09416107833385468,-0.005838923156261444,-0.10577081143856049,-0.0057708099484443665,0.7762653231620789,-0.023734688758850098,0.8457460999488831,0.0457460880279541,0.9807314276695251,-0.019268572330474854,1.0672744512557983,0.06727445125579834,-1.4188902378082275,0.08110976219177246,-1.632750153541565,-0.13275015354156494,-1.6224489212036133,-0.12244892120361328,-1.3854320049285889,0.11456799507141113,132
side,0.04,0,0.15418638288974762,99.8017807006836,179.3412628173828,1.529862642288208,0.05480610951781273,3.8242595195770264,2,False,0.1829882264137268,0.0,True,0.17661893367767334,0.18826988339424133,-0.3150116801261902,0.16369204223155975,0.2010253518819809,-0.1745476871728897,-0.22735881805419922,-0.15857501327991486,-0.2393011450767517,0.18205469846725464,-0.27421173453330994,0.15815766155719757,-0.3800373375415802,-0.21354171633720398,-0.2705325782299042,-0.16126328706741333,0.1427878439426422,0.04278784245252609,-0.13822421431541443,-0.03822421282529831,0.14159749448299408,0.04159749299287796,-0.24808166921138763,-0.14808166027069092,0.7261703610420227,-0.07382965087890625,0.9325190186500549,0.13251900672912598,0.9651219248771667,-0.03487807512283325,1.1326991319656372,0.1326991319656372,-1.3513295650482178,0.14867043495178223,-1.9278209209442139,-0.42782092094421387,-1.6169250011444092,-0.11692500114440918,-1.162030816078186,0.33796918392181396,132
side,0.06,0,0.15584683418273926,103.33583068847656,176.5449676513672,1.5688440799713135,0.22996844351291656,5.266088485717773,2,False,0.3256021738052368,0.0,False,0.18661272525787354,0.21041962504386902,-0.3179529309272766,0.17469953000545502,0.22911414504051208,-0.2089942991733551,-0.1271810084581375,-0.18639026582241058,-0.21672892570495605,0.20551609992980957,-0.2730584740638733,0.1700698286294937,-0.4509490728378296,-0.262177973985672,-0.17898701131343842,-0.1577283889055252,0.20576190948486328,0.10576190799474716,-0.42554256319999695,-0.3255425691604614,0.22031232714653015,0.12031232565641403,-0.5303968191146851,-0.43039682507514954,0.6473568677902222,-0.1526431441307068,0.9251657128334045,0.12516570091247559,0.8597576022148132,-0.14024239778518677,1.299749493598938,0.299749493598938,-1.2553409337997437,0.24465906620025635,-2.2359731197357178,-0.7359731197357178,-1.5649224519729614,-0.06492245197296143,-1.0515496730804443,0.44845032691955566,132
side,0.08,0,0.1590508371591568,115.60157012939453,176.0299072265625,1.6922862529754639,0.3213948905467987,13.321027755737305,2,False,0.46097373962402344,0.0,False,0.19666770100593567,0.28312909603118896,-0.2868677079677582,0.20865103602409363,0.2548176348209381,-0.20693017542362213,-0.04919898509979248,-0.21436265110969543,-0.184758722782135,0.27298036217689514,-0.2394743412733078,0.20420251786708832,-0.4958586096763611,-0.27148276567459106,-0.10773803293704987,-0.14351485669612885,0.43000316619873047,0.33000317215919495,-0.6678043603897095,-0.5678043365478516,0.4635654091835022,0.3635654151439667,-0.7313206791877747,-0.6313206553459167,0.5575855374336243,-0.2424144744873047,0.7895905375480652,-0.01040947437286377,0.7091276049613953,-0.29087239503860474,1.387455701828003,0.38745570182800293,-1.1333531141281128,0.3666468858718872,-2.4167654514312744,-0.9167654514312744,-1.4730243682861328,0.026975631713867188,-0.9354701638221741,0.5645298361778259,132
side,0.1,0,0.16009853780269623,131.2228240966797,176.90875244140625,1.8213030099868774,0.33285027742385864,13.092331886291504,0,False,0.5682318210601807,0.0,False,0.19025051593780518,0.3621103763580322,-0.21430687606334686,0.2395665943622589,0.2800045311450958,-0.18673622608184814,-0.003208756446838379,-0.24328194558620453,-0.14404159784317017,0.32523369789123535,-0.171845942735672,0.23633098602294922,-0.49934977293014526,-0.28270307183265686,-0.07315023243427277,-0.13704393804073334,0.7212650775909424,0.6212650537490845,-0.7990409135818481,-0.6990408897399902,0.7223672270774841,0.6223672032356262,-0.8739467263221741,-0.7739467024803162,0.5300889611244202,-0.2699110507965088,0.5495107173919678,-0.2504892945289612,0.5749830603599548,-0.42501693964004517,1.3907443284988403,0.39074432849884033,-1.043123483657837,0.4568765163421631,-2.4997658729553223,-0.9997658729553223,-1.4625672101974487,0.03743278980255127,-0.921122133731842,0.578877866268158,132
side,0.12,0,0.15630188584327698,145.794677734375,178.013671875,1.9113807678222656,0.4676200747489929,11.684744834899902,0,False,0.6463632583618164,0.0,False,0.14656050503253937,0.40251797437667847,-0.13647112250328064,0.24159124493598938,0.30095574259757996,-0.1580863893032074,0.02940957248210907,-0.2650921046733856,-0.1033998653292656,0.32155945897102356,-0.1006346195936203,0.2514495253562927,-0.4887782335281372,-0.2964361011981964,-0.05962812900543213,-0.1376364827156067,0.9515771865844727,0.8515771627426147,-0.8537133932113647,-0.7537133693695068,0.8879260420799255,0.7879260182380676,-0.9557967782020569,-0.855796754360199,0.6347964406013489,-0.16520357131958008,0.24291229248046875,-0.5570877194404602,0.5040647387504578,-0.49593526124954224,1.3621450662612915,0.3621450662612915,-1.0171558856964111,0.48284411430358887,-2.5432400703430176,-1.0432400703430176,-1.6366761922836304,-0.13667619228363037,-0.9413993954658508,0.5586006045341492,132
side,0.14,0,0.1451391726732254,160.56488037109375,-179.66439819335938,1.9712964296340942,0.7775646448135376,12.11801815032959,0,False,0.6833036541938782,0.0,False,0.05570155382156372,0.3942103683948517,-0.09172280877828598,0.2115364968776703,0.3117702901363373,-0.12684056162834167,0.056664321571588516,-0.269144207239151,-0.08930215239524841,0.2772369682788849,-0.046648964285850525,0.25212362408638,-0.48101556301116943,-0.2813824713230133,-0.12470929324626923,-0.15212777256965637,1.044086217880249,0.9440861940383911,-0.8540647029876709,-0.754064679145813,0.9535857439041138,0.8535857200622559,-0.7153902053833008,-0.6153901815414429,0.8820436596870422,0.08204364776611328,-0.0923958346247673,-0.8923958539962769,0.5244889259338379,-0.4755110740661621,1.3283517360687256,0.3283517360687256,-1.0079431533813477,0.49205684661865234,-2.567294120788574,-1.0672941207885742,-1.9501979351043701,-0.4501979351043701,-0.9390377402305603,0.5609622597694397,132
side,0.16,0,0.12570816278457642,-179.99716186523438,-176.41412353515625,1.9990209341049194,1.1401726007461548,17.223142623901367,0,False,0.6999604105949402,0.0,False,-0.0004939287900924683,0.3287495970726013,-0.07032321393489838,0.15062399208545685,0.3068760931491852,-0.11110082268714905,0.07369659841060638,-0.23522794246673584,-0.1312551498413086,0.2583024501800537,-0.024355370551347733,0.22728917002677917,-0.4268464744091034,-0.21736225485801697,-0.2772769033908844,-0.16504915058612823,0.9920951724052429,0.892095148563385,-0.6246102452278137,-0.5246102213859558,0.9918484687805176,0.8918484449386597,-0.2546643614768982,-0.15466436743736267,1.2755193710327148,0.4755193591117859,-0.4663213789463043,-1.2663214206695557,0.7656319737434387,-0.23436802625656128,1.0622029304504395,0.06220293045043945,-1.3219588994979858,0.17804110050201416,-2.592027425765991,-1.0920274257659912,-2.161588191986084,-0.661588191986084,-0.8377593159675598,0.6622406840324402,132
side,0.18,0,0.10914645344018936,-164.98486328125,-174.11167907714844,1.9804551601409912,0.7930517196655273,11.52834415435791,1,False,0.7382156252861023,0.0,False,-0.016757279634475708,0.25700145959854126,-0.07421848177909851,0.10575231909751892,0.29762789607048035,-0.1003187894821167,0.09477570652961731,-0.20993515849113464,-0.226531520485878,0.30016523599624634,-0.04420998692512512,0.17789143323898315,-0.28554534912109375,-0.17435003817081451,-0.3682607412338257,-0.15621614456176758,0.7896978259086609,0.689697802066803,-0.5515256524085999,-0.45152565836906433,1.0182782411575317,0.9182782173156738,-0.08665236085653305,0.013347640633583069,1.6236144304275513,0.8236144185066223,-0.7443047761917114,-1.5443048477172852,1.1059950590133667,0.1059950590133667,0.6589204668998718,-0.3410795331001282,-1.635567545890808,-0.1355675458908081,-2.5865426063537598,-1.0865426063537598,-1.936635971069336,-0.43663597106933594,-0.8395578265190125,0.6604421734809875,132
side,0.2,0,0.11102578043937683,-158.0962677001953,-173.3531036376953,1.9608345031738281,0.49459052085876465,6.773599624633789,1,False,0.8042585849761963,0.0,False,-0.06717748939990997,0.19892118871212006,-0.029470741748809814,0.06529384851455688,0.29514700174331665,-0.09669896960258484,0.09207853674888611,-0.22361135482788086,-0.30343300104141235,0.25291895866394043,-0.03671914339065552,0.10436725616455078,-0.14163988828659058,-0.1037747859954834,-0.39321303367614746,-0.12152983993291855,0.717215359210968,0.6172153353691101,-0.6456582546234131,-0.5456582307815552,0.9218166470527649,0.821816623210907,0.0980691984295845,0.19806919991970062,1.9604218006134033,1.1604218482971191,-0.6652774214744568,-1.4652774333953857,1.569915533065796,0.5699155330657959,0.2854682505130768,-0.7145317792892456,-1.6574931144714355,-0.15749311447143555,-2.616366147994995,-1.1163661479949951,-2.0744643211364746,-0.5744643211364746,-0.8377252221107483,0.6622747778892517,132
