step,time_s,phase,cmd_x,cmd_y,cmd_yaw,height,x,y,speed,yaw_speed,roll_deg,pitch_deg,foot_contacts,base_contact,done,vx,vy,vx_b,vy_b,push_delta_vy,joint_rms_deviation,FL_foot_x_b,FL_foot_y_b,FL_foot_z_w,FL_foot_fz,FL_foot_contact,FL_foot_speed_xy,FR_foot_x_b,FR_foot_y_b,FR_foot_z_w,FR_foot_fz,FR_foot_contact,FR_foot_speed_xy,RL_foot_x_b,RL_foot_y_b,RL_foot_z_w,RL_foot_fz,RL_foot_contact,RL_foot_speed_xy,RR_foot_x_b,RR_foot_y_b,RR_foot_z_w,RR_foot_fz,RR_foot_contact,RR_foot_speed_xy
1,0.02,stand,0.0,0.0,0.0,0.39874833822250366,5.0827860832214355e-05,-5.9587033319985494e-05,0.004125649109482765,0.07802118360996246,-0.00881522373647095,-0.014276786237352625,0,0,0,0.004060181323438883,-0.0007320573786273599,0.004027228336781263,-0.000756058725528419,0.0,0.07550608366727829,0.17771056294441223,0.1703103929758072,0.076558917760849,0.0,0,0.60419762134552,0.17442409694194794,-0.17029385268688202,0.08391166478395462,0.0,0,0.36757394671440125,-0.29087144136428833,0.16950847208499908,0.09427976608276367,0.0,0,1.1735339164733887,-0.291337788105011,-0.1647309809923172,0.09295284748077393,0.0,0,1.3138377666473389
2,0.04,stand,0.0,0.0,0.0,0.39416050910949707,-0.00017570704221725464,-0.00010024987568613142,0.018257183954119682,0.10038679093122482,-0.3132701214184992,0.13347255521241408,0,0,0,-0.018058018758893013,0.002689369022846222,-0.01731427200138569,0.001027613994665444,0.0,0.16228383779525757,0.1963108777999878,0.15946359932422638,0.054534293711185455,0.0,0,1.2982679605484009,0.1683390885591507,-0.17018982768058777,0.051912978291511536,0.0,0,0.3110617399215698,-0.3155685067176819,0.15785999596118927,0.07270469516515732,0.0,0,1.2183469533920288,-0.30402663350105286,-0.14688949286937714,0.08222585171461105,0.0,0,1.0733999013900757
3,0.06,stand,0.0,0.0,0.0,0.38546064496040344,-0.0004885643720626831,-0.0001629684993531555,0.015253659337759018,0.061692360788583755,-0.6045587197363403,0.4927929192528367,0,0,0,-0.015247019939124584,-0.00044999850797466934,-0.010701458901166916,-0.005949756130576134,0.0,0.22711284458637238,0.22045749425888062,0.15130425989627838,0.03742477297782898,0.0,0,1.0259243249893188,0.16023553907871246,-0.16327039897441864,0.025151103734970093,0.0,0,0.8528128266334534,-0.3263593018054962,0.14139313995838165,0.04883066564798355,0.0,0,0.8631061911582947,-0.3080595135688782,-0.13325124979019165,0.06884772330522537,0.0,0,0.6005685925483704
4,0.08,stand,0.0,0.0,0.0,0.3734269142150879,-0.0007262211292982101,3.151537384837866e-05,0.008587132208049297,0.03906800597906113,-0.06414732241576147,0.5188751705372939,3,0,0,-0.000853458943311125,0.008544615469872952,0.004950162023305893,0.007838422432541847,0.0,0.2411356419324875,0.2259087860584259,0.1540016233921051,0.023320838809013367,41.33769226074219,1,0.05461089685559273,0.1596175581216812,-0.16010600328445435,0.0229046568274498,88.85751342773438,1,0.03703351318836212,-0.32633957266807556,0.13208618760108948,0.021803490817546844,118.93309020996094,1,1.6234140396118164,-0.3028726875782013,-0.1267780363559723,0.05191989988088608,0.0,0,0.516257107257843
5,0.1,stand,0.0,0.0,0.0,0.3620559871196747,-0.0016253497451543808,0.0005461806431412697,0.06738466024398804,0.0594339594244957,-0.369759280990369,-0.5619899392602061,3,0,0,-0.060852859169244766,0.028941692784428596,-0.06545496731996536,0.026163751259446144,0.0,0.195914164185524,0.21957018971443176,0.15165990591049194,0.023251153528690338,103.43196105957031,1,0.06776651740074158,0.15330372750759125,-0.16233840584754944,0.022960886359214783,113.38418579101562,1,0.04611789807677269,-0.33341073989868164,0.13440141081809998,0.02228143811225891,56.81953430175781,1,0.05199778825044632,-0.29168128967285156,-0.1364833116531372,0.029158800840377808,0.0,0,1.1588597297668457
6,0.12,stand,0.0,0.0,0.0,0.35400354862213135,-0.0033240951597690582,0.0007827462395653129,0.09434562176465988,0.16867922246456146,-0.4880523410820247,-1.7003602259490418,4,0,0,-0.09375907480716705,0.010503905825316906,-0.10277703404426575,0.008745988830924034,0.0,0.1624370664358139,0.21464486420154572,0.15009327232837677,0.023296259343624115,99.6763687133789,1,0.06225988641381264,0.14752350747585297,-0.16365301609039307,0.02301984280347824,94.9093246459961,1,0.058078303933143616,-0.3386339545249939,0.13449934124946594,0.022377245128154755,60.982086181640625,1,0.039333928376436234,-0.2973186671733856,-0.13645128905773163,0.022714383900165558,65.31656646728516,1,0.034656643867492676
7,0.14,stand,0.0,0.0,0.0,0.3493548035621643,-0.0053517185151577,0.0009073339169844985,0.10303764790296555,0.09664901345968246,-0.42051409654761635,-2.0753591691673097,4,0,0,-0.10278680920600891,0.0071852924302220345,-0.10895884037017822,0.007115534506738186,0.0,0.1435767114162445,0.21455441415309906,0.1498311311006546,0.023333825170993805,84.06859588623047,1,0.05169541761279106,0.14675632119178772,-0.16372977197170258,0.02303364872932434,56.47454833984375,1,0.041306495666503906,-0.3387226164340973,0.13554759323596954,0.022439628839492798,54.59452819824219,1,0.020034341141581535,-0.29804423451423645,-0.13544796407222748,0.022764571011066437,73.33329010009766,1,0.017119526863098145
8,0.16,stand,0.0,0.0,0.0,0.3463945686817169,-0.007364223711192608,0.0009787536691874266,0.09984667599201202,0.051243700087070465,-0.49200461937308204,-1.9622873084484527,4,0,0,-0.09976594150066376,0.004014409147202969,-0.1042090654373169,0.004182920791208744,0.0,0.13236211240291595,0.21710596978664398,0.14904898405075073,0.023372679948806763,63.006446838378906,1,0.03997315093874931,0.14893396198749542,-0.16438773274421692,0.023057401180267334,45.72750473022461,1,0.020550761371850967,-0.33611151576042175,0.13547705113887787,0.02247115969657898,36.69420623779297,1,0.01152067445218563,-0.29577258229255676,-0.13553637266159058,0.022798486053943634,48.41533279418945,1,0.025064319372177124
9,0.18,stand,0.0,0.0,0.0,0.34356939792633057,-0.009277446195483208,0.001060800044797361,0.09443888068199158,0.015950029715895653,-0.6437166744956995,-1.7995717118512389,4,0,0,-0.09426365047693253,0.005750336218625307,-0.09875234216451645,0.005390114616602659,0.0,0.12251895666122437,0.21971271932125092,0.14798924326896667,0.023406244814395905,49.50020980834961,1,0.033691179007291794,0.15140515565872192,-0.16537457704544067,0.023083306849002838,43.62541198730469,1,0.02116646245121956,-0.33343660831451416,0.13472893834114075,0.02249687910079956,27.69363021850586,1,0.008205180056393147,-0.2932344675064087,-0.13631150126457214,0.02282240241765976,35.31609344482422,1,0.014949009753763676
10,0.2,stand,0.0,0.0,0.0,0.34032031893730164,-0.011107034049928188,0.0012173897121101618,0.09100814908742905,0.0014507509768009186,-0.8470165080891885,-1.712702804666078,4,0,0,-0.0904284119606018,0.010255965404212475,-0.0953267514705658,0.008991147391498089,0.0,0.11271432787179947,0.22173182666301727,0.14668723940849304,0.023439474403858185,43.846805572509766,1,0.025750653818249702,0.15342380106449127,-0.1666235774755478,0.023112133145332336,46.77463150024414,1,0.022872718051075935,-0.3313370943069458,0.13350160419940948,0.022523649036884308,28.74952507019043,1,0.015321454033255577,-0.2911572754383087,-0.1375332623720169,0.022843830287456512,32.52989196777344,1,0.015034805983304977
11,0.22,stand,0.0,0.0,0.0,0.3367491066455841,-0.012868084944784641,0.0014707972295582294,0.08831341564655304,0.0030151738319545984,-1.0372728681629217,-1.670991479735045,4,0,0,-0.08700771629810333,0.015129998326301575,-0.09203366190195084,0.013060660101473331,0.0,0.10393404215574265,0.2234080582857132,0.14540497958660126,0.023452162742614746,44.42815017700195,1,0.035608623176813126,0.15513111650943756,-0.16784881055355072,0.023141875863075256,50.94416809082031,1,0.02154223807156086,-0.3295655846595764,0.13225549459457397,0.022548764944076538,32.0833625793457,1,0.007842897437512875,-0.289390504360199,-0.1387590765953064,0.022874005138874054,31.53301429748535,1,0.011889135465025902
