step,time_s,phase,cmd_x,cmd_y,cmd_yaw,height,x,y,speed,yaw_speed,roll_deg,pitch_deg,foot_contacts,base_contact,done,vx,vy,vx_b,vy_b,push_delta_vy,joint_rms_deviation,FL_foot_x_b,FL_foot_y_b,FL_foot_z_w,FL_foot_fz,FL_foot_contact,FL_foot_speed_xy,FR_foot_x_b,FR_foot_y_b,FR_foot_z_w,FR_foot_fz,FR_foot_contact,FR_foot_speed_xy,RL_foot_x_b,RL_foot_y_b,RL_foot_z_w,RL_foot_fz,RL_foot_contact,RL_foot_speed_xy,RR_foot_x_b,RR_foot_y_b,RR_foot_z_w,RR_foot_fz,RR_foot_contact,RR_foot_speed_xy
1,0.02,stand,0.0,0.0,0.0,0.39895761013031006,5.4562464356422424e-05,-6.544335337821394e-05,0.004571012686938047,0.08336527645587921,-0.010757948149166764,-0.021212646571355537,0,0,0,0.004515849985182285,-0.0007079936331138015,0.004471424035727978,-0.0007350252126343548,0.0,0.07569823414087296,0.17772811651229858,0.17004847526550293,0.07665596157312393,0.0,0,0.6166972517967224,0.17441953718662262,-0.1700594127178192,0.08400282263755798,0.0,0,0.38119664788246155,-0.2908395826816559,0.16931988298892975,0.0943513959646225,0.0,0,1.1718077659606934,-0.2913341224193573,-0.16452546417713165,0.09301826357841492,0.0,0,1.3135284185409546
2,0.04,stand,0.0,0.0,0.0,0.3946414887905121,-0.000217365100979805,-0.00010075476166093722,0.02148866094648838,0.10635194927453995,-0.3517849178179664,0.12980406327724286,0,0,0,-0.02126305177807808,0.003105662763118744,-0.020563101395964622,0.0013174191117286682,0.0,0.16157200932502747,0.1966954618692398,0.1587546169757843,0.05519653111696243,0.0,0,1.3066303730010986,0.1687168926000595,-0.16992183029651642,0.05242008715867996,0.0,0,0.3163023293018341,-0.3153015077114105,0.15729904174804688,0.07312987744808197,0.0,0,1.2167823314666748,-0.30376288294792175,-0.14674638211727142,0.08255404233932495,0.0,0,1.069690465927124
3,0.06,stand,0.0,0.0,0.0,0.3861459791660309,-0.00057251937687397,-0.00016736706311348826,0.016573118045926094,0.06558879464864731,-0.6382031110099124,0.49629034963385343,0,0,0,-0.01655656471848488,-0.0007405288051813841,-0.012046946212649345,-0.006453118287026882,0.0,0.2253762036561966,0.2209445685148239,0.15070782601833344,0.03860291838645935,0.0,0,1.015579104423523,0.16076241433620453,-0.16286011040210724,0.02603878080844879,0.0,0,0.8587832450866699,-0.3261529505252838,0.1409466713666916,0.049803219735622406,0.0,0,0.8581706285476685,-0.3079412281513214,-0.1330627053976059,0.06938058137893677,0.0,0,0.6007571220397949
4,0.08,stand,0.0,0.0,0.0,0.37429627776145935,-0.0008416157215833664,4.251813516020775e-05,0.015569492243230343,0.027306830510497093,0.011593519908239334,0.5445838958515162,3,0,0,-0.004964790772646666,0.01475669164210558,0.0010119812795892358,0.014912956394255161,0.0,0.24314340949058533,0.22764673829078674,0.15417852997779846,0.0233609601855278,58.727317810058594,1,0.09147867560386658,0.16042032837867737,-0.159040629863739,0.022903919219970703,86.5421371459961,1,0.035760343074798584,-0.3246076703071594,0.13050425052642822,0.02205553650856018,44.15892028808594,1,0.1254095584154129,-0.302891343832016,-0.12582795321941376,0.05286281555891037,0.0,0,0.4963260889053345
5,0.1,stand,0.0,0.0,0.0,0.3638662099838257,-0.0016512200236320496,0.0005720520857721567,0.06343786418437958,0.10841482132673264,-0.3833819865682536,-0.5434741501939478,3,0,0,-0.05620095506310463,0.02942473255097866,-0.059978924691677094,0.0270024873316288,0.0,0.20086123049259186,0.22132591903209686,0.15116102993488312,0.023250281810760498,100.01970672607422,1,0.0607580728828907,0.15393993258476257,-0.16192969679832458,0.022955328226089478,108.0698013305664,1,0.039346545934677124,-0.33145034313201904,0.12787079811096191,0.022301919758319855,65.017333984375,1,0.04640122130513191,-0.29393190145492554,-0.13602398335933685,0.0314473882317543,0.0,0,1.0210038423538208
6,0.12,stand,0.0,0.0,0.0,0.35731786489486694,-0.0033300016075372696,0.0006737548392266035,0.09291668981313705,0.1979452669620514,-0.5688433937620793,-1.817802980849884,4,0,0,-0.09289544820785522,0.0019866025540977716,-0.09987276792526245,0.0007950443541631103,0.0,0.17558759450912476,0.2157568782567978,0.14916996657848358,0.02331392467021942,91.77689361572266,1,0.02809043787419796,0.14731113612651825,-0.16364766657352448,0.022990405559539795,81.14752197265625,1,0.0184788778424263,-0.33740249276161194,0.12793247401714325,0.02238938957452774,57.263702392578125,1,0.0363444909453392,-0.2980354428291321,-0.13722984492778778,0.02270428091287613,54.486995697021484,1,0.022469989955425262
7,0.14,stand,0.0,0.0,0.0,0.3539184629917145,-0.005397934466600418,0.0006129876128397882,0.1067974865436554,0.06824080646038055,-0.6237632906917121,-2.1836022995863793,4,0,0,-0.10676664113998413,-0.0025665557477623224,-0.11154533177614212,-0.002524491399526596,0.0,0.16118696331977844,0.2157861888408661,0.1483975499868393,0.023313559591770172,65.46359252929688,1,0.04565003514289856,0.14667931199073792,-0.16425347328186035,0.023024246096611023,33.1218376159668,1,0.025956422090530396,-0.33741822838783264,0.12841369211673737,0.022444099187850952,42.496341705322266,1,0.017917780205607414,-0.29864275455474854,-0.13678893446922302,0.02275286614894867,63.43581008911133,1,0.03605339676141739
8,0.16,stand,0.0,0.0,0.0,0.3516005873680115,-0.007510197348892689,0.0004423939099069685,0.10646973550319672,0.021050184965133667,-0.7868408873149366,-1.9693098101322837,4,0,0,-0.10600210726261139,-0.009967860765755177,-0.10994763672351837,-0.01002812385559082,0.0,0.15161792933940887,0.21895690262317657,0.14744864404201508,0.0233512744307518,54.52531433105469,1,0.037910256534814835,0.1496402472257614,-0.16511869430541992,0.023037604987621307,27.82290267944336,1,0.025627776980400085,-0.3342072069644928,0.12785424292087555,0.022471047937870026,26.01211929321289,1,0.012022203765809536,-0.29561081528663635,-0.13737373054027557,0.02277616411447525,44.53662109375,1,0.017762811854481697
9,0.18,stand,0.0,0.0,0.0,0.34906262159347534,-0.009565996006131172,0.00022210468887351453,0.10279002040624619,0.0008421522798016667,-0.9635081057872534,-1.7402341232716358,4,0,0,-0.10224922001361847,-0.010530220344662666,-0.10652309656143188,-0.011397677473723888,0.0,0.14180612564086914,0.22204944491386414,0.1466161459684372,0.02338915318250656,45.407840728759766,1,0.024777019396424294,0.15268969535827637,-0.16590571403503418,0.023064590990543365,31.98101806640625,1,0.021593768149614334,-0.3310495913028717,0.1270906925201416,0.02249416708946228,19.14928436279297,1,0.0107002854347229,-0.2924880087375641,-0.138128399848938,0.022795744240283966,33.423336029052734,1,0.0136135658249259
10,0.2,stand,0.0,0.0,0.0,0.3460187315940857,-0.011560759507119656,5.914043867960572e-05,0.09925386309623718,0.004336056765168905,-1.140927925728741,-1.6166868868000948,4,0,0,-0.09907648712396622,-0.005931205116212368,-0.10361164808273315,-0.0077125756070017815,0.0,0.13110944628715515,0.22442947328090668,0.1457882821559906,0.023401133716106415,40.88307189941406,1,0.03527664765715599,0.15509341657161713,-0.16668736934661865,0.023092366755008698,38.389225006103516,1,0.02448880299925804,-0.3286024332046509,0.12624123692512512,0.022519826889038086,22.244468688964844,1,0.011492041870951653,-0.29001885652542114,-0.13895945250988007,0.022825084626674652,30.576738357543945,1,0.010997889563441277
11,0.22,stand,0.0,0.0,0.0,0.34272056818008423,-0.013494329527020454,1.120948581956327e-05,0.09569784998893738,0.0025132917799055576,-1.3084175043906763,-1.55531283463077,4,0,0,-0.09569663554430008,0.0004827003285754472,-0.1001298576593399,-0.0019436809234321117,0.0,0.12079256027936935,0.226384699344635,0.1449251025915146,0.023428693413734436,40.16421890258789,1,0.03482632711529732,0.15707257390022278,-0.16750521957874298,0.023122087121009827,43.58017349243164,1,0.024489285424351692,-0.3265695869922638,0.12538237869739532,0.02254718542098999,27.55386734008789,1,0.01574886403977871,-0.2879859507083893,-0.13980787992477417,0.0228530615568161,32.04479217529297,1,0.010491893626749516
12,0.24,stand,0.0,0.0,0.0,0.3394487202167511,-0.015352999791502953,8.889540913514793e-05,0.09184103459119797,0.0096963532269001,-1.4566284472334277,-1.5260224221488168,4,0,0,-0.0915829986333847,0.006879711057990789,-0.09569599479436874,0.0041226730681955814,0.0,0.1120900958776474,0.22811052203178406,0.1440376341342926,0.02346261590719223,40.137325286865234,1,0.0241607204079628,0.15878881514072418,-0.16833877563476562,0.02315189689397812,46.28200149536133,1,0.020547939464449883,-0.3247637152671814,0.12457206100225449,0.022572681307792664,30.069013595581055,1,0.008410129696130753,-0.2862206697463989,-0.14060820639133453,0.022875651717185974,32.92879867553711,1,0.014840405434370041
13,0.26,stand,0.0,0.0,0.0,0.3363393545150757,-0.017118440940976143,0.0002854708000086248,0.08739256858825684,0.013867568224668503,-1.5816837681293663,-1.5182662087377383,4,0,0,-0.0864839032292366,0.012569649145007133,-0.09023413062095642,0.009685342200100422,0.0,0.10551799088716507,0.22965623438358307,0.14314943552017212,0.023472733795642853,40.312950134277344,1,0.03182817995548248,0.16029803454875946,-0.16915638744831085,0.023173563182353973,46.978599548339844,1,0.02231231890618801,-0.32315120100975037,0.12383048236370087,0.022599130868911743,32.57716751098633,1,0.007617762312293053,-0.28466472029685974,-0.14134401082992554,0.02290475368499756,30.919139862060547,1,0.01034717820584774
14,0.28,stand,0.0,0.0,0.0,0.3334273397922516,-0.01878010667860508,0.0005834322655573487,0.08288183808326721,0.016958825290203094,-1.698539233483293,-1.5319848571291204,4,0,0,-0.08106590062379837,0.017254538834095,-0.08451128751039505,0.01431328896433115,0.0,0.10109903663396835,0.231004536151886,0.14220690727233887,0.02349642664194107,39.847938537597656,1,0.029291275888681412,0.16159625351428986,-0.170034259557724,0.023196309804916382,46.706260681152344,1,0.020944563671946526,-0.32173702120780945,0.12307043373584747,0.022623389959335327,34.59782409667969,1,0.013369248248636723,-0.2833295464515686,-0.14210647344589233,0.022928006947040558,30.72214698791504,1,0.009723519906401634
15,0.3,stand,0.0,0.0,0.0,0.3307257890701294,-0.020330874249339104,0.000961514248047024,0.07824547588825226,0.019255466759204865,-1.7974754841062797,-1.559219489392606,4,0,0,-0.07539777457714081,0.020917218178510666,-0.07856524735689163,0.018008744344115257,0.0,0.09863990545272827,0.23219673335552216,0.14128060638904572,0.023523569107055664,39.093868255615234,1,0.02008535899221897,0.1627262830734253,-0.17089663445949554,0.023219004273414612,46.333526611328125,1,0.01600681245326996,-0.3204755485057831,0.12234967947006226,0.02264564484357834,34.599693298339844,1,0.006966036278754473,-0.28216537833213806,-0.14282725751399994,0.02294056862592697,30.75404167175293,1,0.011676628142595291
16,0.32,stand,0.0,0.0,0.0,0.328238308429718,-0.02175893634557724,0.0014046260621398687,0.07297388464212418,0.02096456103026867,-1.864245065554797,-1.5905879869295356,4,0,0,-0.06897550821304321,0.023823663592338562,-0.07186584919691086,0.021044498309493065,0.0,0.09779492765665054,0.23327261209487915,0.14045557379722595,0.023530766367912292,38.785850524902344,1,0.025981245562434196,0.16373004019260406,-0.17164777219295502,0.023233138024806976,46.110382080078125,1,0.017975755035877228,-0.31934353709220886,0.12176394462585449,0.022667348384857178,36.48746871948242,1,0.006948173511773348,-0.2811279296875,-0.14341968297958374,0.02296881377696991,28.343067169189453,1,0.009108462370932102
