step,time_s,phase,cmd_x,cmd_y,cmd_yaw,height,x,y,speed,yaw_speed,roll_deg,pitch_deg,foot_contacts,base_contact,done,vx,vy,vx_b,vy_b,wz,push_delta_vy,joint_rms_deviation,FL_foot_x_b,FL_foot_y_b,FL_foot_z_w,FL_foot_fz,FL_foot_contact,FL_foot_speed_xy,FR_foot_x_b,FR_foot_y_b,FR_foot_z_w,FR_foot_fz,FR_foot_contact,FR_foot_speed_xy,RL_foot_x_b,RL_foot_y_b,RL_foot_z_w,RL_foot_fz,RL_foot_contact,RL_foot_speed_xy,RR_foot_x_b,RR_foot_y_b,RR_foot_z_w,RR_foot_fz,RR_foot_contact,RR_foot_speed_xy
1,0.02,stand,0.0,0.0,0.0,0.39875659346580505,7.324852049350739e-05,2.9415892640827224e-05,0.00782870315015316,0.03275755047798157,-0.361439843777029,-0.008932289943843262,0,0,0,0.006582229398190975,0.0042382595129311085,0.0065630762837827206,0.0033966677729040384,0.03275755047798157,0.0,0.07546155154705048,0.17264829576015472,0.16919419169425964,0.07773692905902863,0.0,0,0.3558194935321808,0.16743189096450806,-0.1773650199174881,0.08017352968454361,0.0,0,0.4137010872364044,-0.28826966881752014,0.16741327941417694,0.09523999691009521,0.0,0,0.998407781124115,-0.2823401093482971,-0.16996647417545319,0.0945226326584816,0.0,0,0.6929323673248291
2,0.04,stand,0.0,0.0,0.0,0.39387810230255127,-9.663030505180359e-05,1.6357822460122406e-05,0.014884565956890583,0.0045246584340929985,-0.5620055206292502,0.1583725034195848,0,0,0,-0.014876587316393852,0.0004872885765507817,-0.01394263282418251,-0.002814212813973427,-0.0045246584340929985,0.0,0.15978549420833588,0.17502935230731964,0.16746990382671356,0.05176423490047455,0.0,0,0.3730829358100891,0.15996094048023224,-0.1814659833908081,0.05574803054332733,0.0,0,0.14049115777015686,-0.3109491467475891,0.1607445776462555,0.07642591744661331,0.0,0,1.0009480714797974,-0.28451696038246155,-0.16190333664417267,0.07960385829210281,0.0,0,0.457539439201355
3,0.06,stand,0.0,0.0,0.0,0.38488373160362244,-0.00044569559395313263,2.3858636268414557e-05,0.018388645723462105,0.005736834369599819,-0.7397212265000169,0.49876074367928247,0,0,0,-0.018357133492827415,0.0010760873556137085,-0.01361510157585144,-0.0059384009800851345,0.005736834369599819,0.0,0.23266124725341797,0.18104305863380432,0.16668987274169922,0.029351837933063507,0.0,0,0.20654992759227753,0.15271098911762238,-0.18451522290706635,0.030174054205417633,0.0,0,0.3974602222442627,-0.32216954231262207,0.15476326644420624,0.05475394427776337,0.0,0,0.3359934389591217,-0.2800424098968506,-0.15821006894111633,0.06151263415813446,0.0,0,0.31526482105255127
4,0.08,stand,0.0,0.0,0.0,0.3734692931175232,-0.0007937885820865631,1.981659443117678e-05,0.017235876992344856,0.03567597642540932,-0.7757011689437632,0.27816895218058385,2,0,0,-0.017215032130479813,-0.0008474052301608026,-0.014527179300785065,-0.008336769416928291,-0.03567597642540932,0.0,0.24891094863414764,0.17947253584861755,0.16683056950569153,0.022975943982601166,78.21849822998047,1,0.044853970408439636,0.1485094428062439,-0.1847590208053589,0.022790446877479553,84.68006134033203,1,0.041026901453733444,-0.3224119246006012,0.15178559720516205,0.028149746358394623,0.0,0,0.4830954670906067,-0.2739110589027405,-0.1622333973646164,0.04104740172624588,0.0,0,0.6155110001564026
5,0.1,stand,0.0,0.0,0.0,0.3639012575149536,-0.0015975143760442734,6.819493137300014e-05,0.0352463535964489,0.1256023347377777,-1.4073603717594216,-1.1987007606581765,4,0,0,-0.03518650680780411,0.0020531131885945797,-0.04272027686238289,-0.006773296277970076,0.1256023347377777,0.0,0.22163474559783936,0.17095789313316345,0.16299675405025482,0.023016341030597687,100.46546173095703,1,0.034662190824747086,0.13998062908649445,-0.18838083744049072,0.02284722775220871,104.58319091796875,1,0.037526216357946396,-0.32717612385749817,0.14709484577178955,0.022334903478622437,70.24642944335938,1,0.08920735120773315,-0.26827913522720337,-0.17455874383449554,0.022213049232959747,101.55897521972656,1,0.3378840386867523
6,0.12,stand,0.0,0.0,0.0,0.3583241105079651,-0.0027475059032440186,-0.00012261085794307292,0.06564196944236755,0.07617194205522537,-1.4026951391128912,-1.908463496798048,4,0,0,-0.06477316468954086,-0.010644477792084217,-0.07158898562192917,-0.015457360073924065,0.07617194205522537,0.0,0.18998688459396362,0.16796112060546875,0.1629483550786972,0.02307531237602234,62.91756057739258,1,0.028058616444468498,0.13634686172008514,-0.18834474682807922,0.022878974676132202,68.10472869873047,1,0.043983981013298035,-0.33031535148620605,0.1480683982372284,0.022411055862903595,61.3725471496582,1,0.02814161591231823,-0.27214422821998596,-0.17359474301338196,0.022838130593299866,54.417301177978516,1,0.022506123408675194
7,0.14,stand,0.0,0.0,0.0,0.3547665476799011,-0.00399540551006794,-0.00024705997202545404,0.06096044182777405,0.03915826603770256,-1.3109595087006847,-1.843269554613688,4,0,0,-0.060899518430233,-0.002724757418036461,-0.06603504717350006,-0.006139280274510384,0.03915826603770256,0.0,0.171863853931427,0.16948476433753967,0.1634836047887802,0.02307436615228653,42.348785400390625,1,0.035665422677993774,0.13752931356430054,-0.187733992934227,0.022896982729434967,52.446983337402344,1,0.020819172263145447,-0.32872429490089417,0.14910827577114105,0.02244848757982254,44.99755096435547,1,0.011992810294032097,-0.2708998918533325,-0.1725798100233078,0.02287137508392334,35.13569641113281,1,0.01342273224145174
8,0.16,stand,0.0,0.0,0.0,0.35150641202926636,-0.005144976079463959,-0.000193579908227548,0.05699779838323593,0.029417211189866066,-1.3969772035605328,-1.6780141948622873,4,0,0,-0.056535765528678894,0.007242660969495773,-0.061298295855522156,0.003499553306028247,0.029417211189866066,0.0,0.1561393290758133,0.17141270637512207,0.16287900507450104,0.023111581802368164,35.37937545776367,1,0.02290116436779499,0.13927075266838074,-0.18824146687984467,0.02292344719171524,56.648033142089844,1,0.018188174813985825,-0.3266983926296234,0.14880366623401642,0.02247035503387451,31.87294578552246,1,0.0034247420262545347,-0.2690946161746979,-0.17289096117019653,0.022892192006111145,19.403324127197266,1,0.013193580321967602
9,0.18,stand,0.0,0.0,0.0,0.348097026348114,-0.0062866732478141785,4.7729903599247336e-05,0.060124628245830536,0.0029562637209892273,-1.51531588718141,-1.5978363117428,4,0,0,-0.05800855904817581,0.015810692682862282,-0.06269166618585587,0.011566869914531708,0.0029562637209892273,0.0,0.14029330015182495,0.1727754920721054,0.1619793325662613,0.023134514689445496,37.03555679321289,1,0.026929501444101334,0.14058451354503632,-0.1890457719564438,0.022951222956180573,56.75518035888672,1,0.02031780406832695,-0.32526037096977234,0.14803586900234222,0.022495530545711517,31.231903076171875,1,0.0055250488221645355,-0.2677355706691742,-0.17362801730632782,0.02291792631149292,18.279306411743164,1,0.015655996277928352
10,0.2,stand,0.0,0.0,0.0,0.3446570038795471,-0.007480117492377758,0.0004372469265945256,0.06460459530353546,0.025000939145684242,-1.625014594945633,-1.5511331857455455,4,0,0,-0.06088963896036148,0.021591784432530403,-0.06536057591438293,0.017070656642317772,-0.025000939145684242,0.0,0.12497232109308243,0.17390719056129456,0.161100834608078,0.023161470890045166,40.90599060058594,1,0.025834843516349792,0.14185066521167755,-0.1898532509803772,0.0229787677526474,54.02534103393555,1,0.01902659982442856,-0.3240523636341095,0.1470308154821396,0.022520773112773895,32.09871292114258,1,0.013654408045113087,-0.2664383351802826,-0.1745668202638626,0.022939525544643402,22.179100036621094,1,0.019394714385271072
