step,time_s,phase,cmd_x,cmd_y,cmd_yaw,height,x,y,speed,yaw_speed,roll_deg,pitch_deg,foot_contacts,base_contact,done,vx,vy,vx_b,vy_b,push_delta_vy,joint_rms_deviation,FL_foot_x_b,FL_foot_y_b,FL_foot_z_w,FL_foot_fz,FL_foot_contact,FL_foot_speed_xy,FR_foot_x_b,FR_foot_y_b,FR_foot_z_w,FR_foot_fz,FR_foot_contact,FR_foot_speed_xy,RL_foot_x_b,RL_foot_y_b,RL_foot_z_w,RL_foot_fz,RL_foot_contact,RL_foot_speed_xy,RR_foot_x_b,RR_foot_y_b,RR_foot_z_w,RR_foot_fz,RR_foot_contact,RR_foot_speed_xy
1,0.02,stand,0.0,0.0,0.0,0.3986809551715851,3.281421959400177e-05,-6.277602369664237e-05,0.004203134682029486,0.04535233601927757,0.38369868323016004,-0.052547156580047265,0,0,0,0.003443897468969226,-0.0024095457047224045,0.0033129400108009577,-0.0014646929921582341,0.0,0.10648912936449051,0.16432519257068634,0.1742459237575531,0.06908254325389862,0.0,0,0.6530327200889587,0.18007147312164307,-0.1716197431087494,0.08414522558450699,0.0,0,0.49216344952583313,-0.2949044704437256,0.1829880326986313,0.09210889786481857,0.0,0,1.248711347579956,-0.29519128799438477,-0.16873036324977875,0.08618414402008057,0.0,0,1.1988499164581299
2,0.04,stand,0.0,0.0,0.0,0.39414268732070923,-0.00027280300855636597,-0.00012499674630817026,0.02262992039322853,0.12585698068141937,1.2553767098955904,-0.022691309155490575,0,0,0,-0.02256501279771328,-0.0017127408646047115,-0.022690849378705025,0.00507446238771081,0.0,0.22599975764751434,0.15012921392917633,0.1628384292125702,0.026605218648910522,0.0,0,1.4286130666732788,0.19663488864898682,-0.16377639770507812,0.06648701429367065,0.0,0,1.1439416408538818,-0.3207665979862213,0.19895978271961212,0.0801306664943695,0.0,0,1.1400811672210693,-0.312168151140213,-0.14677883684635162,0.05823312699794769,0.0,0,1.157066822052002
3,0.06,stand,0.0,0.0,0.0,0.386650025844574,-0.0008116979151964188,-0.0005521831917576492,0.04040626809000969,0.07864183187484741,0.8945880819672397,-0.028254364832333734,1,0,0,-0.029401354491710663,-0.027716906741261482,-0.02972523681819439,-0.021403150632977486,0.0,0.2588673532009125,0.15066750347614288,0.16073429584503174,0.022780507802963257,107.52008056640625,1,0.03368232026696205,0.2186015546321869,-0.16064214706420898,0.05047436058521271,0.0,0,1.1813093423843384,-0.3379838466644287,0.20473232865333557,0.07262809574604034,0.0,0,0.7201725840568542,-0.30551275610923767,-0.11789768934249878,0.031937360763549805,0.0,0,1.7471976280212402
4,0.08,stand,0.0,0.0,0.0,0.37880221009254456,-0.0011481493711471558,-0.0015713772736489773,0.06026114523410797,0.030399125069379807,0.49968308602149863,-0.2044921685111191,2,0,0,-0.008776414208114147,-0.059618622064590454,-0.010391195304691792,-0.0564030185341835,0.0,0.24316740036010742,0.14940257370471954,0.15896418690681458,0.022844836115837097,107.8752670288086,1,0.03713333234190941,0.24000835418701172,-0.1465175300836563,0.0462862104177475,0.0,0,1.2141635417938232,-0.33185139298439026,0.21277043223381042,0.07333050668239594,0.0,0,0.7677994966506958,-0.30635306239128113,-0.11540967226028442,0.022414900362491608,105.40457153320312,1,0.014978027902543545
5,0.1,stand,0.0,0.0,0.0,0.37239834666252136,-0.0009008850902318954,-0.0029555601067841053,0.07852617651224136,0.0266707893460989,0.450640887037779,0.15392649049694285,2,0,0,0.02364465408027172,-0.07488184422254562,0.024033596739172935,-0.07258579879999161,0.0,0.22888851165771484,0.1508631855249405,0.15977993607521057,0.022878356277942657,102.04508209228516,1,0.030212849378585815,0.2475365251302719,-0.13149747252464294,0.031566642224788666,0.0,0,0.6725847125053406,-0.3130451738834381,0.21949301660060883,0.0718730166554451,0.0,0,0.9045433402061462,-0.3047987222671509,-0.11429013311862946,0.02245420217514038,89.5029067993164,1,0.017798172309994698
6,0.12,stand,0.0,0.0,0.0,0.36717283725738525,2.5251880288124084e-05,-0.004751262720674276,0.11256500333547592,0.002998527605086565,0.4717331515250131,0.7457809916759933,3,0,0,0.05366227775812149,-0.09895069152116776,0.05621255561709404,-0.09727997332811356,0.0,0.21708334982395172,0.1530483365058899,0.1614350527524948,0.022915884852409363,101.33942413330078,1,0.024098146706819534,0.2472706437110901,-0.12699683010578156,0.02339741587638855,41.35638427734375,1,0.02839483879506588,-0.29340484738349915,0.21802276372909546,0.06374795734882355,0.0,0,0.9332994222640991,-0.30231958627700806,-0.11242984235286713,0.02247358113527298,80.27489471435547,1,0.03176407888531685
7,0.14,stand,0.0,0.0,0.0,0.3644635081291199,0.0012294594198465347,-0.0067640203051269054,0.12232007086277008,0.09601961076259613,1.3193005570594454,0.9461529152713684,3,0,0,0.0627654641866684,-0.10498902946710587,0.0636420026421547,-0.10331092029809952,0.0,0.23075799643993378,0.15269656479358673,0.16833814978599548,0.022960111498832703,97.49893188476562,1,0.04646271839737892,0.24708393216133118,-0.11992764472961426,0.023422926664352417,78.26013946533203,1,0.012709936127066612,-0.28509244322776794,0.21342578530311584,0.038877226412296295,0.0,0,1.1760673522949219,-0.30223238468170166,-0.10562507808208466,0.02247866988182068,72.4355239868164,1,0.0572642982006073
8,0.16,stand,0.0,0.0,0.0,0.36131516098976135,0.002246132120490074,-0.008560695685446262,0.1084834486246109,0.053359292447566986,2.0588557245852663,0.3144045464705295,2,0,0,0.05119464173913002,-0.09564395993947983,0.05173437297344208,-0.08995439857244492,0.0,0.22986510396003723,0.19381922483444214,0.16781340539455414,0.03881432116031647,0.0,0,3.0091872215270996,0.2424842119216919,-0.11351328343153,0.02342500537633896,79.90116119384766,1,0.010219953954219818,-0.29072344303131104,0.2135981321334839,0.022439122200012207,70.592529296875,1,0.02349621243774891,-0.3225139379501343,-0.11435253173112869,0.027858145534992218,0.0,0,1.6497889757156372
9,0.18,stand,0.0,0.0,0.0,0.35700565576553345,0.0031535550951957703,-0.010643161833286285,0.12761130928993225,0.1522102653980255,2.071325515575594,-0.8406475167707103,2,0,0,0.051723506301641464,-0.116659015417099,0.048655956983566284,-0.10954073816537857,0.0,0.193673774600029,0.2463836520910263,0.16008533537387848,0.06263312697410583,0.0,0,2.6934399604797363,0.23502440750598907,-0.11100352555513382,0.023431949317455292,82.37078094482422,1,0.01246378943324089,-0.299251914024353,0.21458378434181213,0.02249559760093689,76.35807037353516,1,0.025547530502080917,-0.32695919275283813,-0.13829928636550903,0.056676171720027924,0.0,0,1.4259026050567627
10,0.2,stand,0.0,0.0,0.0,0.35305142402648926,0.004324771463871002,-0.013074417598545551,0.1498020887374878,0.1006370261311531,2.196564291083771,-1.7382711909371975,2,0,0,0.06902573257684708,-0.1329515427350998,0.06392265856266022,-0.1261613667011261,0.0,0.193756103515625,0.28215306997299194,0.15436869859695435,0.08400027453899384,0.0,0,1.641701340675354,0.22887277603149414,-0.10743820667266846,0.023436173796653748,83.0119400024414,1,0.02747933752834797,-0.3062359392642975,0.21647363901138306,0.022520728409290314,85.73625946044922,1,0.018189718946814537,-0.33722639083862305,-0.1626722663640976,0.06869643926620483,0.0,0,1.0296522378921509
11,0.22,stand,0.0,0.0,0.0,0.3499111831188202,0.005780886858701706,-0.015922365710139275,0.17128528654575348,0.05870155245065689,2.379348477566363,-2.2908761834735416,2,0,0,0.08076231181621552,-0.15104998648166656,0.07563414424657822,-0.14499953389167786,0.0,0.19669371843338013,0.29952794313430786,0.1508001834154129,0.0857880562543869,0.0,0,0.8797945976257324,0.22435089945793152,-0.10342899709939957,0.02341393381357193,85.51741027832031,1,0.030963117256760597,-0.31105729937553406,0.21942901611328125,0.022533267736434937,84.6225357055664,1,0.011834928765892982,-0.3410979211330414,-0.17366032302379608,0.07016140222549438,0.0,0,0.4799940586090088
12,0.24,stand,0.0,0.0,0.0,0.3472307622432709,0.007414663210511208,-0.019170425832271576,0.19116075336933136,0.03898745775222778,2.382423983683573,-2.5606056898826344,2,0,0,0.08509557694196701,-0.17117586731910706,0.08002805709838867,-0.1654794067144394,0.0,0.19868145883083344,0.31049254536628723,0.14548686146736145,0.08774301409721375,0.0,0,0.7392900586128235,0.22120337188243866,-0.10026481002569199,0.023440346121788025,87.58507537841797,1,0.022220928221940994,-0.31419020891189575,0.22196604311466217,0.022530190646648407,80.30353546142578,1,0.05419788137078285,-0.33107951283454895,-0.17993171513080597,0.07016286253929138,0.0,0,0.8707740902900696
13,0.26,stand,0.0,0.0,0.0,0.34484389424324036,0.009168002754449844,-0.02285820059478283,0.2124391794204712,0.0034648803994059563,2.2502935473028534,-2.6357076752317443,2,0,0,0.09124228358268738,-0.19184693694114685,0.08657516539096832,-0.1867428719997406,0.0,0.20382830500602722,0.322254478931427,0.14177724719047546,0.09145846217870712,0.0,0,0.7331972122192383,0.21898680925369263,-0.09760517627000809,0.023421578109264374,90.04783630371094,1,0.04332178831100464,-0.3162246346473694,0.22445085644721985,0.022521816194057465,78.13241577148438,1,0.05026860162615776,-0.3174441158771515,-0.18452374637126923,0.06948260962963104,0.0,0,0.7802380919456482
14,0.28,stand,0.0,0.0,0.0,0.34267738461494446,0.011089367792010307,-0.027007147669792175,0.2373507171869278,0.013129028491675854,2.0561684720336895,-2.633917738782378,2,0,0,0.10096654295921326,-0.21480484306812286,0.09674789011478424,-0.21036021411418915,0.0,0.21206633746623993,0.3345678150653839,0.13974514603614807,0.09427180886268616,0.0,0,0.7077694535255432,0.21699120104312897,-0.09497892111539841,0.02343389391899109,89.73777770996094,1,0.04322901368141174,-0.3178729712963104,0.22720898687839508,0.022508494555950165,76.8624038696289,1,0.016105404123663902,-0.30698901414871216,-0.18622128665447235,0.06777060776948929,0.0,0,0.5592366456985474
15,0.3,stand,0.0,0.0,0.0,0.34069377183914185,0.013199176639318466,-0.03163015842437744,0.2627997398376465,0.015810294076800346,1.8111192138602032,-2.61132411333821,2,0,0,0.10963419079780579,-0.23883897066116333,0.10590945184230804,-0.235138401389122,0.0,0.22117994725704193,0.3452450931072235,0.13776573538780212,0.09547854959964752,0.0,0,0.6294410228729248,0.21492549777030945,-0.09220433235168457,0.023462362587451935,90.2408218383789,1,0.025950053706765175,-0.31950122117996216,0.2301701158285141,0.022485457360744476,72.64730834960938,1,0.05791058763861656,-0.30020251870155334,-0.186773419380188,0.06463395059108734,0.0,0,0.4397607147693634
16,0.32,stand,0.0,0.0,0.0,0.3389173150062561,0.015447275713086128,-0.03673877567052841,0.2873220145702362,0.017910340800881386,1.4956498515702394,-2.5655723046262913,2,0,0,0.11516345292329788,-0.26323243975639343,0.11203158646821976,-0.2603747546672821,0.0,0.22962450981140137,0.3527790904045105,0.13484106957912445,0.09377951920032501,0.0,0,0.5321652889251709,0.21287202835083008,-0.08933976292610168,0.023427873849868774,93.94347381591797,1,0.05687272548675537,-0.32114532589912415,0.2332661747932434,0.022464372217655182,72.2945785522461,1,0.0656985193490982,-0.2954631745815277,-0.1873742938041687,0.05985026806592941,0.0,0,0.4006050229072571
17,0.34,stand,0.0,0.0,0.0,0.33739611506462097,0.01774330995976925,-0.04232907295227051,0.30908361077308655,0.022985605522990227,1.0513880944129879,-2.47892324415504,2,0,0,0.11541000008583069,-0.2867284417152405,0.11300848424434662,-0.28485628962516785,0.0,0.23688194155693054,0.35633766651153564,0.13003627955913544,0.08792232722043991,0.0,0,0.4941786825656891,0.2109915018081665,-0.08673488348722458,0.023433439433574677,95.59856414794922,1,0.06254871189594269,-0.3225533664226532,0.2361392229795456,0.022432073950767517,68.63856506347656,1,0.07375939190387726,-0.2911940813064575,-0.1884894073009491,0.053241267800331116,0.0,0,0.4137207269668579
18,0.36,stand,0.0,0.0,0.0,0.33618447184562683,0.0199996680021286,-0.04837310314178467,0.327897310256958,0.042674120515584946,0.4498027481214244,-2.3439990469603735,2,0,0,0.11181043833494186,-0.30824515223503113,0.11019323766231537,-0.30739250779151917,0.0,0.24361711740493774,0.35489901900291443,0.12214241921901703,0.07662798464298248,0.0,0,0.6128103733062744,0.20940427482128143,-0.08456415683031082,0.023420214653015137,99.54535675048828,1,0.07535064965486526,-0.3235936462879181,0.23868441581726074,0.022397592663764954,65.24002838134766,1,0.0819745734333992,-0.2871573865413666,-0.18988659977912903,0.043328166007995605,0.0,0,0.4208472967147827
19,0.38,stand,0.0,0.0,0.0,0.33539921045303345,0.0221431665122509,-0.05479215830564499,0.341043621301651,0.08772372454404831,-0.3667425518526183,-2.1797172026091114,2,0,0,0.10557649284601212,-0.32429054379463196,0.10474489629268646,-0.32431697845458984,0.0,0.25332069396972656,0.3444421589374542,0.10799861699342728,0.05433613061904907,0.0,0,1.117702603340149,0.20805314183235168,-0.08328600972890854,0.02342044562101364,101.7435302734375,1,0.08024764060974121,-0.3242086172103882,0.24059242010116577,0.02236068993806839,60.29045486450195,1,0.09303934872150421,-0.28318116068840027,-0.1908828467130661,0.025923989713191986,0.0,0,0.5304061770439148
20,0.4,stand,0.0,0.0,0.0,0.33619290590286255,0.024175139144062996,-0.061071984469890594,0.31799954175949097,0.01142930705100298,-0.8596988887174328,-1.5754645607249522,4,0,0,0.09345200657844543,-0.3039579391479492,0.09574093669652939,-0.30283549427986145,0.0,0.2712286412715912,0.3260303735733032,0.0905979797244072,0.02367158979177475,37.34992599487305,1,0.681570827960968,0.20926418900489807,-0.08020269870758057,0.02344989776611328,102.28656768798828,1,0.0516887903213501,-0.3222847580909729,0.2439766228199005,0.02229674905538559,45.44245910644531,1,0.08318948745727539,-0.28184831142425537,-0.187759667634964,0.022843673825263977,73.42385864257812,1,0.031237129122018814
21,0.42,stand,0.0,0.0,0.0,0.3382023274898529,0.026043228805065155,-0.06636779755353928,0.2553577721118927,0.0536528043448925,-0.86936211228912,-0.8299293491373736,3,0,0,0.08986464887857437,-0.2390228658914566,0.0917712152004242,-0.237267404794693,0.0,0.2768414318561554,0.3280528485774994,0.09489255398511887,0.023729246109724045,64.69415283203125,1,0.020602652803063393,0.212407648563385,-0.07615543901920319,0.023448623716831207,44.68431091308594,1,0.09885061532258987,-0.33153799176216125,0.24297499656677246,0.02859058976173401,0.0,0,1.0885562896728516,-0.27950263023376465,-0.18292133510112762,0.022810153663158417,91.83404541015625,1,0.02408207394182682
22,0.44,stand,0.0,0.0,0.0,0.33906635642051697,0.02829493023455143,-0.07036402076482773,0.21740268170833588,0.05828360840678215,-0.9456584736084829,-0.5042917561639647,2,0,0,0.11828243732452393,-0.182409405708313,0.11875927448272705,-0.18186427652835846,0.0,0.2486376315355301,0.3277134299278259,0.09820891171693802,0.023743797093629837,61.6224479675293,1,0.0401005856692791,0.23595964908599854,-0.0945405587553978,0.06553773581981659,0.0,0,2.032366991043091,-0.3345731496810913,0.23526132106781006,0.06132178008556366,0.0,0,0.6042919158935547,-0.2797624170780182,-0.17964418232440948,0.022795118391513824,87.61597442626953,1,0.023866970092058182
23,0.46,stand,0.0,0.0,0.0,0.33968526124954224,0.030907711014151573,-0.07367551326751709,0.21285441517829895,0.044697355479002,-0.3635048020621942,-0.3425526098137983,2,0,0,0.13720928132534027,-0.1627286672592163,0.13768133521080017,-0.16228890419006348,0.0,0.24087674915790558,0.32606515288352966,0.10457474738359451,0.02374100685119629,66.94999694824219,1,0.019979383796453476,0.2459992617368698,-0.1187840923666954,0.07879799604415894,0.0,0,1.4041684865951538,-0.35118210315704346,0.24104396998882294,0.09017635136842728,0.0,0,0.7978741526603699,-0.28123438358306885,-0.17341750860214233,0.022784270346164703,88.74177551269531,1,0.03307883068919182
