step,time_s,phase,cmd_x,cmd_y,cmd_yaw,height,x,y,speed,yaw_speed,roll_deg,pitch_deg,foot_contacts,base_contact,done,vx,vy,vx_b,vy_b,push_delta_vy,joint_rms_deviation,FL_foot_x_b,FL_foot_y_b,FL_foot_z_w,FL_foot_fz,FL_foot_contact,FL_foot_speed_xy,FR_foot_x_b,FR_foot_y_b,FR_foot_z_w,FR_foot_fz,FR_foot_contact,FR_foot_speed_xy,RL_foot_x_b,RL_foot_y_b,RL_foot_z_w,RL_foot_fz,RL_foot_contact,RL_foot_speed_xy,RR_foot_x_b,RR_foot_y_b,RR_foot_z_w,RR_foot_fz,RR_foot_contact,RR_foot_speed_xy
1,0.02,stand,0.0,0.0,0.0,0.3985241949558258,5.096755921840668e-05,-8.526726014679298e-05,0.004936656914651394,0.05205788090825081,0.1558686387791801,0.000595169235672456,0,0,0,0.003956711385399103,-0.0029521204996854067,0.003955792170017958,-0.0025629247538745403,0.0,0.0706193819642067,0.1780669242143631,0.1745537519454956,0.07943178713321686,0.0,0,0.42083293199539185,0.17935051023960114,-0.1717844307422638,0.08658890426158905,0.0,0,0.37827178835868835,-0.2939479649066925,0.17170554399490356,0.09365654736757278,0.0,0,1.3400381803512573,-0.2904680371284485,-0.16311036050319672,0.09562818706035614,0.0,0,1.3329635858535767
2,0.04,stand,0.0,0.0,0.0,0.39335739612579346,-0.00010949559509754181,-7.375366112682968e-05,0.013434287160634995,0.040175940841436386,0.13223662447797233,0.028684590043818507,0,0,0,-0.013188286684453487,0.002559131942689419,-0.013011053204536438,0.003378903493285179,0.0,0.14416056871414185,0.19516614079475403,0.16830375790596008,0.06354520469903946,0.0,0,1.124149203300476,0.18190406262874603,-0.17361558973789215,0.05979683995246887,0.0,0,0.36791178584098816,-0.32399997115135193,0.16685695946216583,0.07680317014455795,0.0,0,1.2987359762191772,-0.30768516659736633,-0.15093746781349182,0.08359700441360474,0.0,0,0.8257200717926025
3,0.06,stand,0.0,0.0,0.0,0.38407719135284424,-0.00037656910717487335,-3.915237175533548e-05,0.013529583811759949,0.014534953981637955,-0.29640000773581726,0.13565054512421512,0,0,0,-0.01284727267920971,0.004242313094437122,-0.01153580006211996,0.001431171433068812,0.0,0.1987626552581787,0.21210306882858276,0.1594918966293335,0.04410408437252045,0.0,0,0.821958601474762,0.18620452284812927,-0.1732831448316574,0.0382600873708725,0.0,0,0.2710283100605011,-0.34325388073921204,0.15790323913097382,0.06098804622888565,0.0,0,0.739388108253479,-0.31768345832824707,-0.14779503643512726,0.06781898438930511,0.0,0,0.36702749133110046
4,0.08,stand,0.0,0.0,0.0,0.3710119426250458,-0.0005798079073429108,7.307498890440911e-05,0.01195235550403595,0.0117211127653718,-0.6750635075263557,0.20287546807066234,2,0,0,-0.004266486968845129,0.01116493996232748,-0.0017074721399694681,0.0027602401096373796,0.0,0.23059114813804626,0.21587879955768585,0.1527799814939499,0.02300667017698288,82.45471954345703,1,0.15820811688899994,0.1827995628118515,-0.17439717054367065,0.022960931062698364,65.7650375366211,1,0.06287400424480438,-0.3513818383216858,0.14978761970996857,0.03871256113052368,0.0,0,0.3134247362613678,-0.31652480363845825,-0.14875158667564392,0.05012590438127518,0.0,0,0.23695142567157745
5,0.1,stand,0.0,0.0,0.0,0.35767701268196106,-0.0013565123081207275,0.0004667722969315946,0.052500247955322266,0.013387004844844341,-0.8607847820737591,-0.8651819297953663,3,0,0,-0.04671700671315193,0.02395407110452652,-0.0557822547852993,0.015005397610366344,0.0,0.19946818053722382,0.20941387116909027,0.15130695700645447,0.023238711059093475,102.11963653564453,1,0.06417329609394073,0.1763138771057129,-0.17570804059505463,0.02308531105518341,111.47988891601562,1,0.04731820896267891,-0.3516717851161957,0.14456191658973694,0.02204730361700058,30.587980270385742,1,0.24536962807178497,-0.3159405589103699,-0.15216267108917236,0.028577223420143127,0.0,0,0.399518221616745
6,0.12,stand,0.0,0.0,0.0,0.3464363217353821,-0.0029212888330221176,0.00064157007727772,0.08666850626468658,0.10277636349201202,-1.2500534312112117,-2.5101135164433153,4,0,0,-0.08642798662185669,0.006452392321079969,-0.10682818293571472,-0.00328543852083385,0.0,0.15202680230140686,0.20135372877120972,0.14858734607696533,0.02329763025045395,100.31443786621094,1,0.05369812622666359,0.16778701543807983,-0.17822504043579102,0.023142173886299133,83.8026351928711,1,0.03561815991997719,-0.35997670888900757,0.14302566647529602,0.022242657840251923,59.98301696777344,1,0.05025763809680939,-0.32259318232536316,-0.1535426378250122,0.022571682929992676,55.86124038696289,1,0.03590037673711777
7,0.14,stand,0.0,0.0,0.0,0.33836522698402405,-0.004821242764592171,0.000634165364317596,0.09516525268554688,0.04684726893901825,-1.3148496215981242,-3.3136054444593905,4,0,0,-0.09515119343996048,-0.0016357152489945292,-0.11440233141183853,-0.008645689114928246,0.0,0.12707431614398956,0.19865933060646057,0.14803138375282288,0.023338645696640015,85.59939575195312,1,0.050041597336530685,0.16473783552646637,-0.17864973843097687,0.023181699216365814,54.30561447143555,1,0.03407324105501175,-0.3624761402606964,0.143314391374588,0.022330671548843384,57.81862258911133,1,0.02980557084083557,-0.32545608282089233,-0.15316174924373627,0.022653385996818542,74.08709716796875,1,0.04274770990014076
8,0.16,stand,0.0,0.0,0.0,0.3326405882835388,-0.006671685725450516,0.000495049636811018,0.09060576558113098,0.055878400802612305,-1.4340696130653448,-3.4245932437077475,4,0,0,-0.09025447070598602,-0.007970845326781273,-0.10504169017076492,-0.01345367357134819,0.0,0.11415044963359833,0.1998024582862854,0.147370845079422,0.02338181436061859,76.07365417480469,1,0.03990757465362549,0.16560783982276917,-0.179179847240448,0.023218423128128052,50.604103088378906,1,0.030409157276153564,-0.3611512780189514,0.14321614801883698,0.022379934787750244,49.450653076171875,1,0.0189671628177166,-0.3244083523750305,-0.15319769084453583,0.02269691973924637,56.77412796020508,1,0.020726541057229042
9,0.18,stand,0.0,0.0,0.0,0.32816988229751587,-0.008360112085938454,0.00020217159180901945,0.08305086940526962,0.06228901073336601,-1.6805857610847972,-3.321164969766714,4,0,0,-0.08160275220870972,-0.015441439114511013,-0.09358490258455276,-0.020732397213578224,0.0,0.10689563304185867,0.2019949108362198,0.1461377590894699,0.023418784141540527,65.83172607421875,1,0.03157617151737213,0.16749171912670135,-0.18025386333465576,0.023251891136169434,49.538063049316406,1,0.02627592906355858,-0.3588346242904663,0.14259612560272217,0.022409886121749878,41.2243766784668,1,0.025110319256782532,-0.32240724563598633,-0.1537857949733734,0.02272791415452957,41.04609298706055,1,0.003570818342268467
10,0.2,stand,0.0,0.0,0.0,0.32422739267349243,-0.0098810363560915,-0.00022932601859793067,0.07667875289916992,0.04869367182254791,-1.946456424056244,-3.2146865894744465,4,0,0,-0.07347399741411209,-0.021936332806944847,-0.0842166393995285,-0.027612222358584404,0.0,0.10361308604478836,0.20403218269348145,0.14497365057468414,0.023447245359420776,56.92048645019531,1,0.02951967343688011,0.16925448179244995,-0.1812507063150406,0.023281246423721313,49.73288345336914,1,0.023641368374228477,-0.35670262575149536,0.14200466871261597,0.022433727979660034,39.23801803588867,1,0.012738797813653946,-0.32053864002227783,-0.15435908734798431,0.02275296300649643,34.38685989379883,1,0.013619186356663704
