step,time_s,phase,cmd_x,cmd_y,cmd_yaw,height,x,y,speed,yaw_speed,roll_deg,pitch_deg,foot_contacts,base_contact,done,vx,vy,vx_b,vy_b,push_delta_vy,joint_rms_deviation,FL_foot_x_b,FL_foot_y_b,FL_foot_z_w,FL_foot_fz,FL_foot_contact,FL_foot_speed_xy,FR_foot_x_b,FR_foot_y_b,FR_foot_z_w,FR_foot_fz,FR_foot_contact,FR_foot_speed_xy,RL_foot_x_b,RL_foot_y_b,RL_foot_z_w,RL_foot_fz,RL_foot_contact,RL_foot_speed_xy,RR_foot_x_b,RR_foot_y_b,RR_foot_z_w,RR_foot_fz,RR_foot_contact,RR_foot_speed_xy
1,0.02,stand,0.0,0.0,0.0,0.39877673983573914,9.986571967601776e-05,-6.495739944512025e-05,0.008018899708986282,0.054360561072826385,0.04074692756663251,-0.0435108196431737,0,0,0,0.007807109970599413,-0.001830789027735591,0.007709325756877661,-0.0017458491493016481,0.0,0.07766717672348022,0.1762533038854599,0.1713341921567917,0.07610354572534561,0.0,0,0.5308941602706909,0.17137426137924194,-0.168442502617836,0.0825316458940506,0.0,0,0.5160431265830994,-0.29249143600463867,0.16853784024715424,0.09364430606365204,0.0,0,1.2893853187561035,-0.29089733958244324,-0.16525064408779144,0.09299661219120026,0.0,0,1.2476246356964111
2,0.04,stand,0.0,0.0,0.0,0.3942304253578186,-8.60411673784256e-05,-0.00017945686704479158,0.016829198226332664,0.11346793919801712,-0.11919068301877031,0.05817074680944164,0,0,0,-0.016808126121759415,-0.0008419091464020312,-0.01649348810315132,-0.0014378986088559031,0.0,0.1679338812828064,0.19476701319217682,0.16269780695438385,0.05195218324661255,0.0,0,1.3909000158309937,0.16020198166370392,-0.1630069613456726,0.0507851168513298,0.0,0,0.6267702579498291,-0.31993553042411804,0.1578778326511383,0.07057441025972366,0.0,0,1.2637579441070557,-0.30103522539138794,-0.146713525056839,0.08403746038675308,0.0,0,0.9930315017700195
3,0.06,stand,0.0,0.0,0.0,0.3855642080307007,-0.00040203146636486053,-0.0002948214241769165,0.015899591147899628,0.0762500986456871,-0.2807037260950255,0.3542660373948264,1,0,0,-0.015798406675457954,-0.0017909022280946374,-0.012529117986559868,-0.004302815068513155,0.0,0.23789599537849426,0.22179798781871796,0.1544966697692871,0.034700289368629456,0.0,0,1.206660270690918,0.14537151157855988,-0.15117791295051575,0.02279852330684662,23.04595184326172,1,0.611236035823822,-0.3326371908187866,0.14384101331233978,0.045689426362514496,0.0,0,0.806908130645752,-0.3017605245113373,-0.13316240906715393,0.07315890491008759,0.0,0,0.4921603798866272
4,0.08,stand,0.0,0.0,0.0,0.3742084503173828,-0.0006282217800617218,1.492838782723993e-05,0.019545787945389748,0.07578855752944946,0.2006819368104569,0.1147754593082463,3,0,0,6.166633102111518e-05,0.019545691087841988,0.0013436739100143313,0.021543757990002632,0.0,0.24364468455314636,0.22408488392829895,0.15462978184223175,0.023175261914730072,56.224788665771484,1,0.05132681876420975,0.14296485483646393,-0.14867015182971954,0.02282150834798813,102.76055145263672,1,0.034589093178510666,-0.33365797996520996,0.137421652674675,0.022119782865047455,140.0164337158203,1,0.4236345589160919,-0.2978138327598572,-0.1290367841720581,0.052692510187625885,0.0,0,0.6232078671455383
5,0.1,stand,0.0,0.0,0.0,0.3645252287387848,-0.0010230373591184616,0.00035067740827798843,0.028065865859389305,0.1413521021604538,0.16704665690251588,-1.0252716921826805,3,0,0,-0.02336989901959896,0.015541578643023968,-0.0304355937987566,0.01692492514848709,0.0,0.20670461654663086,0.21731427311897278,0.15366551280021667,0.023272134363651276,91.89828491210938,1,0.030294375494122505,0.1357477605342865,-0.14943993091583252,0.022875726222991943,112.98323059082031,1,0.02589612826704979,-0.34083977341651917,0.13746942579746246,0.022245466709136963,69.48908996582031,1,0.045313987880945206,-0.2909364402294159,-0.1282205730676651,0.02835020422935486,0.0,0,0.8622024059295654
6,0.12,stand,0.0,0.0,0.0,0.35783833265304565,-0.001954978331923485,0.00043063718476332724,0.054189540445804596,0.17374812066555023,-0.11272530865975822,-2.297138186281974,4,0,0,-0.0539475716650486,0.005115259904414415,-0.06355520337820053,0.005311985034495592,0.0,0.17958660423755646,0.21101616322994232,0.15117375552654266,0.023264065384864807,96.37000274658203,1,0.05333376303315163,0.12851987779140472,-0.15162688493728638,0.022917985916137695,92.73563385009766,1,0.0433664470911026,-0.3473658859729767,0.13682150840759277,0.022328749299049377,55.968509674072266,1,0.03252601996064186,-0.29813048243522644,-0.1290673464536667,0.02273239940404892,62.972320556640625,1,0.031016845256090164
7,0.14,stand,0.0,0.0,0.0,0.3541334867477417,-0.003221539780497551,0.00043938541784882545,0.06502623856067657,0.04419475793838501,-0.28886697609195433,-2.818687375879328,4,0,0,-0.06501021236181259,0.0014437189092859626,-0.07148399949073792,0.0017033596523106098,0.0,0.16519446671009064,0.20931504666805267,0.1497400552034378,0.023297682404518127,82.908447265625,1,0.040320221334695816,0.1263684183359146,-0.15290966629981995,0.022920630872249603,47.61992263793945,1,0.04315176233649254,-0.3490142524242401,0.1363658607006073,0.022377558052539825,38.49481201171875,1,0.014937321655452251,-0.3002486228942871,-0.12957555055618286,0.022781066596508026,78.30060577392578,1,0.026520445942878723
8,0.16,stand,0.0,0.0,0.0,0.3517332077026367,-0.004556359723210335,0.0003326273581478745,0.0679483413696289,0.02969127520918846,-0.4688266925897611,-2.807863873922385,4,0,0,-0.06740233302116394,-0.008596684783697128,-0.07281225919723511,-0.00852835550904274,0.0,0.1559036523103714,0.21051998436450958,0.14879970252513885,0.023335590958595276,70.3534164428711,1,0.02178042382001877,0.12762349843978882,-0.1538371592760086,0.022940143942832947,29.711687088012695,1,0.027032187208533287,-0.3477618992328644,0.1354093849658966,0.02240336686372757,25.039688110351562,1,0.00986701250076294,-0.29896029829978943,-0.13052451610565186,0.022798731923103333,59.51953125,1,0.00967751070857048
9,0.18,stand,0.0,0.0,0.0,0.3493057191371918,-0.005879226140677929,9.939805022440851e-05,0.06757938116788864,0.060398221015930176,-0.6473385957465103,-2.6604948586165436,4,0,0,-0.06602703034877777,-0.014401530846953392,-0.07213982194662094,-0.014980483800172806,0.0,0.14673419296741486,0.212360218167305,0.1481896936893463,0.023341551423072815,58.11318588256836,1,0.032818954437971115,0.12974923849105835,-0.154490128159523,0.02296554297208786,31.74254608154297,1,0.01908329874277115,-0.3458704948425293,0.13430121541023254,0.022421889007091522,20.85549545288086,1,0.010092087090015411,-0.296796053647995,-0.13157425820827484,0.022821731865406036,40.515140533447266,1,0.012469429522752762
10,0.2,stand,0.0,0.0,0.0,0.34634512662887573,-0.007158464752137661,-0.00014932411431800574,0.06468682736158371,0.07917680591344833,-0.8464773500315806,-2.5336734002116277,4,0,0,-0.06339868903160095,-0.01284490991383791,-0.07049161940813065,-0.014433776028454304,0.0,0.1366228461265564,0.2139381319284439,0.14761227369308472,0.023367151618003845,47.24945831298828,1,0.03210623934864998,0.1317632645368576,-0.15514543652534485,0.022988460958003998,41.1989631652832,1,0.01986125484108925,-0.3442026674747467,0.1329723447561264,0.0224398672580719,22.20335578918457,1,0.007535659708082676,-0.2947557270526886,-0.13283145427703857,0.022844210267066956,35.268531799316406,1,0.009724454022943974
